,date,newCases,previsao,erro_relativo,newCases_7d,erro_medio
68,2022-03-10,1042,975.3260098357445,0.06398655486013008,833.1428571428571,874.3636325235783
69,2022-03-11,936,848.1419017554097,0.09386548957755378,786.1428571428571,842.840720256609
70,2022-03-12,1009,844.4805452467901,0.16305198687136754,719.1428571428571,841.9325790836875
71,2022-03-13,384,762.9156640503602,0.986759541797813,739.2857142857143,856.3565726067077
72,2022-03-14,28,752.2714129012686,25.866836175045307,717.5714285714286,866.379933955256
73,2022-03-15,679,829.4685654577016,0.22160318918660032,709.4285714285714,851.2650358904511
74,2022-03-16,964,892.9231562676099,0.0737311656975001,720.2857142857143,850.8797687595057
75,2022-03-17,1168,919.9610608109771,0.21236210547005388,738.2857142857143,839.8051050950681
76,2022-03-18,872,848.6605180385462,0.02676546096496992,729.1428571428571,756.5625026180238
77,2022-03-19,739,862.853760020426,0.16759642763251145,690.5714285714286,740.4018595531746
78,2022-03-20,239,590.6973377733875,1.4715369781313286,669.8571428571429,488.63532568641756
79,2022-03-21,116,533.9240005305346,3.6027931080218503,682.4285714285714,459.66706958583
80,2022-03-22,658,547.1610671936751,0.16844822614942997,679.4285714285714,431.1714579896065
81,2022-03-23,653,569.3468379446654,0.1281059143266993,635.0,425.0164918093757
82,2022-03-24,811,657.0434782608727,0.18983541521470693,584.0,420.4455197498944
83,2022-03-25,620,649.053359683794,0.04686025755450652,548.0,413.9563178176969
84,2022-03-26,840,684.4772727272721,0.1851461038961047,562.4285714285714,396.51497442001624
85,2022-03-27,13,373.43577075099046,27.72582851930696,530.1428571428571,397.5691143007804
86,2022-03-28,230,309.81916996047306,0.3470398693933611,546.4285714285714,399.5193256600749
87,2022-03-29,736,470.9476284584998,0.3601255048118209,557.5714285714286,381.861035064876
88,2022-03-30,545,505.3448616600814,0.0727617217246213,542.1428571428571,381.8961541497344
89,2022-03-31,571,530.5849802371545,0.07077936911181354,507.85714285714283,378.23690305247385
90,2022-04-01,428,513.2296209740488,0.19913462844403917,480.42857142857144,366.0652197465797
91,2022-04-02,535,504.6418593506579,0.056744188129611385,436.85714285714283,358.20880331238857
92,2022-04-03,183,406.7320586475147,1.2225795554509,461.14285714285717,358.7472366398607
93,2022-04-04,123,388.67986865985085,2.1599989321939095,445.85714285714283,368.862664307554
94,2022-04-05,385,452.28788599800174,0.17477372986493958,395.7142857142857,348.804535164032
95,2022-04-06,677,509.0745923711024,0.2480434381519905,414.57142857142856,343.7776364778459
96,2022-04-07,420,504.23391439035305,0.2005569390246501,393.0,326.25453984787083
97,2022-04-08,442,467.53402941666525,0.057769297322772056,395.0,286.4144022193343
98,2022-04-09,333,429.6205451301915,0.2901517871777522,366.14285714285717,269.16982578219597
99,2022-04-10,103,366.1265435938614,2.554626636833606,354.7142857142857,265.16486402596854
100,2022-04-11,316,385.18544579055515,0.21894128414732641,382.2857142857143,260.61452652763853
101,2022-04-12,305,420.6763900943872,0.37926685276848265,370.85714285714283,250.73091059901625
102,2022-04-13,532,425.88979602244194,0.19945527063450763,350.14285714285717,247.2666678213572
103,2022-04-14,292,396.54727271115706,0.3580386051751954,331.85714285714283,245.94137325400692
104,2022-04-15,197,342.13061346578456,0.7367036216537287,296.85714285714283,236.2212599610397
105,2022-04-16,125,301.95128287813145,1.4156102630250516,267.14285714285717,237.72155710418932
106,2022-04-17,82,247.46130052244223,2.017820738078564,264.14285714285717,224.17951992896977
107,2022-04-18,59,253.8939450165346,3.3032872036700778,227.42857142857142,221.36664210138295
108,2022-04-19,270,279.6328217156349,0.03567711746531451,222.42857142857142,220.33912723630314
109,2022-04-20,607,308.14742984624723,0.49234360816104245,233.14285714285714,211.72366208592854
110,2022-04-21,262,311.56216967663914,0.1891685865520578,228.85714285714286,208.58482315921162
111,2022-04-22,90,211.87944664031608,1.3542160737812898,213.57142857142858,211.17240137975375
112,2022-04-23,0,131.8833992094862,1.0,195.71428571428572,223.55435658157882
113,2022-04-24,443,202.3231225296444,0.5432886624612994,247.28571428571428,216.87169847442067
114,2022-04-25,116,187.4377470355729,0.6158426468583871,255.42857142857142,218.95937251303465
115,2022-04-26,487,323.01778656126476,0.33671912410417915,286.42857142857144,215.33638802782303
